"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GRMN","Garmin Ltd.","61.45","$11.53B","2000","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/grmn",
"GARS","Garrison Capital Inc.","8.35","$134.01M","2013","n/a","n/a","http://www.nasdaq.com/symbol/gars",
"GDS","GDS Holdings Limited","19.84","$1.93B","2016","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gds",
"GEMP","Gemphire Therapeutics Inc.","9.5","$101.01M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gemp",
"GENC","Gencor Industries Inc.","17.7","$254.91M","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/genc",
"GNCMA","General Communication, Inc.","41.13","$1.48B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/gncma",
"GFN","General Finance Corporation","6.3","$167.76M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/gfn",
"GFNCP","General Finance Corporation","99.8016","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/gfncp",
"GFNSL","General Finance Corporation","25.1","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/gfnsl",
"GENE","Genetic Technologies Ltd","0.838","$13.61M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gene",
"GNUS","Genius Brands International, Inc.","2.88","$17.1M","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/gnus",
"GNMK","GenMark Diagnostics, Inc.","4.77","$261.37M","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gnmk",
"GNCA","Genocea Biosciences, Inc.","1.15","$33.01M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnca",
"GHDX","Genomic Health, Inc.","28.7","$998.34M","2005","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ghdx",
"GNTX","Gentex Corporation","19.04","$5.41B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/gntx",
"THRM","Gentherm Inc","34.25","$1.26B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/thrm",
"GEOS","Geospace Technologies Corporation","15.8","$212.35M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/geos",
"GABC","German American Bancorp, Inc.","35.1","$804.84M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gabc",
"GERN","Geron Corporation","1.92","$305.73M","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gern",
"GEVO","Gevo, Inc.","0.62","$13.52M","2011","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gevo",
"ROCK","Gibraltar Industries, Inc.","31.65","$1B","1993","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/rock",
"GIGM","GigaMedia Limited","3.02","$33.38M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gigm",
"GIII","G-III Apparel Group, LTD.","26.72","$1.3B","1989","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/giii",
"GILT","Gilat Satellite Networks Ltd.","7.31","$399.5M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/gilt",
"GILD","Gilead Sciences, Inc.","72.44","$94.63B","1992","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gild",
"GBCI","Glacier Bancorp, Inc.","37.02","$2.89B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gbci",
"GLAD","Gladstone Capital Corporation","9.78","$255.41M","2001","Consumer Non-Durables","Textiles","http://www.nasdaq.com/symbol/glad",
"GLADN","Gladstone Capital Corporation","25.9017","n/a","n/a","Consumer Non-Durables","Textiles","http://www.nasdaq.com/symbol/gladn",
"GOOD","Gladstone Commercial Corporation","22.53","$645.12M","2003","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/good",
"GOODM","Gladstone Commercial Corporation","25.99","n/a","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodm",
"GOODO","Gladstone Commercial Corporation","26.1534","$30.08M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodo",
"GOODP","Gladstone Commercial Corporation","27.217","$27.22M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodp",
"GAIN","Gladstone Investment Corporation","11.15","$362.67M","2005","n/a","n/a","http://www.nasdaq.com/symbol/gain",
"GAINM","Gladstone Investment Corporation","25.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainm",
"GAINN","Gladstone Investment Corporation","25.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainn",
"GAINO","Gladstone Investment Corporation","25.1094","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gaino",
